,random_choices,random_acc,uncertainty_choices,uncertainty_acc,mc_choices,mc_acc,mcvopt_choices,mcvopt_acc,vopt_choices,vopt_acc
0,-1,0.6231657820793006,-1,0.6231657820793006,-1,0.6231657820793006,-1,0.6231657820793006,-1,0.6231657820793006
1,6304,0.6247268186075554,132,0.6191070871058383,1639,0.6241024039962535,1639,0.6241024039962535,1639,0.6241024039962535
2,1354,0.6306587574149235,2279,0.6228535747736497,4043,0.6234779893849516,6851,0.6234779893849516,6851,0.6234779893849516
3,245,0.6565719637839526,2402,0.653449890727443,3162,0.6303465501092725,3198,0.6303465501092725,3198,0.6303465501092725
4,3087,0.6568841710896035,3146,0.6487667811426787,1828,0.6403371838901031,4050,0.6269122697471121,4050,0.6269122697471121
5,794,0.6768654386512645,5124,0.6509522322822354,4020,0.6450202934748673,5821,0.6334686231657821,5821,0.6334686231657821
6,6337,0.6790508897908211,140,0.6447080861692164,4818,0.6443958788635654,3412,0.6334686231657821,3412,0.6334686231657821
7,188,0.6756166094286606,6215,0.6546987199500468,855,0.6571963783952545,4314,0.6365906962222916,4314,0.6365906962222916
8,6198,0.6768654386512645,1186,0.6906025600999064,3341,0.6571963783952545,5169,0.6559475491726506,5169,0.6559475491726506
9,5553,0.6740555729004059,4349,0.6943490477677178,4269,0.6593818295348111,5736,0.6512644395878864,5736,0.6512644395878864
10,2899,0.6756166094286606,658,0.6896659381829535,3342,0.6734311582891039,4512,0.6668748048704339,1819,0.6512644395878864
11,947,0.6593818295348111,4544,0.6980955354355292,1783,0.6943490477677178,2117,0.6712457071495473,2117,0.6546987199500468
12,3315,0.6740555729004059,6239,0.699344364658133,6180,0.6940368404620668,1819,0.6703090852325945,4512,0.6703090852325945
13,5123,0.6865438651264439,5607,0.7021542304089916,6309,0.7115204495785201,4104,0.6693724633156416,4104,0.6693724633156416
14,5938,0.6974711208242272,6476,0.7074617546050578,1986,0.7080861692163597,6152,0.6849828285981892,6152,0.6849828285981892
15,6335,0.699344364658133,3717,0.7046518888541992,4579,0.7140181080237278,6596,0.6852950359038401,6596,0.6852950359038401
16,6575,0.7162035591632844,5086,0.7068373399937559,5883,0.7102716203559163,6546,0.6877926943490478,5888,0.6843584139868873
17,223,0.7315017171401811,2385,0.712457071495473,6712,0.7077739619107087,5888,0.6871682797377459,6546,0.6871682797377459
18,1255,0.7249453637215111,52,0.7108960349672182,6686,0.7071495472994068,5771,0.6818607555416797,5771,0.6818607555416797
19,2760,0.7240087418045582,1390,0.7099594130502653,2504,0.7152669372463316,5586,0.6962222916016235,4153,0.6746799875117078
20,2379,0.7158913518576334,3831,0.7143303153293787,3910,0.7133936934124259,4153,0.6893537308773026,4780,0.673118950983453
21,1963,0.7302528879175773,1633,0.7208866687480487,4604,0.7261941929441149,4780,0.6881049016546987,5770,0.6712457071495473
22,6386,0.7305650952232282,2131,0.7174523883858882,4986,0.7293162660006244,5770,0.6849828285981892,5586,0.6849828285981892
23,4101,0.7305650952232282,5221,0.7168279737745863,6546,0.7290040586949734,1352,0.705588510771152,1352,0.705588510771152
24,5393,0.7311895098345301,6323,0.7171401810802372,2866,0.7330627536684359,1661,0.7268186075554168,1661,0.7268186075554168
25,6523,0.7327505463627849,2689,0.7249453637215111,1821,0.738994692475804,118,0.7261941929441149,3528,0.7271308148610678
26,2436,0.7230721198876053,4920,0.7249453637215111,1673,0.7414923509210115,5051,0.7283796440836715,118,0.7261941929441149
27,1779,0.7302528879175773,6315,0.725569778332813,3999,0.7396191070871059,1131,0.738682485170153,4886,0.7293162660006244
28,686,0.7330627536684359,5397,0.7240087418045582,3545,0.7496097408679363,3528,0.738994692475804,703,0.732126131751483
29,5256,0.7352482048079925,3606,0.7249453637215111,6560,0.7492975335622853,6724,0.7402435216984078,6724,0.7327505463627849
30,3777,0.744926631283172,5544,0.7261941929441149,2015,0.758039338120512,703,0.7427411801436153,1131,0.7430533874492663
31,251,0.7508585700905401,6781,0.7268186075554168,4003,0.758039338120512,6529,0.7433655947549173,6529,0.7433655947549173
32,5595,0.7505463627848892,5417,0.7230721198876053,1085,0.7592881673431159,6160,0.7418045582266625,6160,0.7418045582266625
33,4106,0.7680299719013425,1046,0.7249453637215111,3445,0.7592881673431159,1489,0.7368092413362473,1489,0.7364970340305963
34,5717,0.7695910084295973,4829,0.7358726194192944,406,0.7561660942866063,1899,0.7396191070871059,1899,0.7402435216984078
35,1791,0.7742741180143615,663,0.7368092413362473,6191,0.7589759600374649,4903,0.7499219481735873,4903,0.7505463627848892
36,2585,0.7611614111770215,4183,0.738682485170153,1305,0.7720886668748048,2890,0.752107399313144,2890,0.7533562285357477
37,562,0.7664689353730877,6090,0.7368092413362473,3090,0.7758351545426163,3692,0.7499219481735873,4491,0.7536684358413986
38,1043,0.7589759600374649,4388,0.738370277864502,2922,0.7727130814861067,827,0.7492975335622853,3692,0.751482984701842
39,6239,0.7574149235092101,2701,0.7396191070871059,4061,0.7724008741804558,4605,0.7499219481735873,827,0.7505463627848892
40,3146,0.7596003746487667,5908,0.7471120824227286,1756,0.7686543865126444,2000,0.771464252263503,2000,0.7720886668748048
41,684,0.7567905088979082,781,0.758039338120512,1866,0.7733374960974086,1093,0.7852013737121448,1093,0.7861379956290977
42,2783,0.7546050577583515,5304,0.7577271308148611,4620,0.7702154230408992,1647,0.7886356540743054,1647,0.7892600686856073
43,5066,0.7602247892600686,3183,0.7574149235092101,242,0.7670933499843896,5100,0.7867624102403996,3917,0.7889478613799563
44,2733,0.758663752731814,4617,0.758663752731814,2962,0.764907898844833,4475,0.7883234467686544,682,0.7864502029347487
45,4608,0.7620980330939744,936,0.7571027162035592,3678,0.7602247892600686,1682,0.7883234467686544,5233,0.7861379956290977
46,1198,0.7589759600374649,3996,0.7577271308148611,4337,0.7602247892600686,5233,0.7880112394630034,4475,0.7876990321573525
47,6334,0.7596003746487667,6544,0.7577271308148611,2268,0.7589759600374649,5850,0.7876990321573525,5100,0.7873868248517015
48,3501,0.7602247892600686,6707,0.7589759600374649,3302,0.7605369965657196,682,0.7858257883234467,1682,0.7870746175460506
49,6396,0.7608492038713706,328,0.7783328129878239,4314,0.7611614111770215,4725,0.7880112394630034,5682,0.7958164221042773
50,2535,0.7508585700905401,4674,0.7758351545426163,75,0.7695910084295973,5682,0.797377458632532,4725,0.7980018732438339
51,5743,0.7536684358413986,2295,0.7876990321573525,5161,0.7770839837652201,2609,0.7961286294099282,2609,0.7967530440212302
52,5073,0.7602247892600686,3162,0.7961286294099282,6028,0.7767717764595692,5423,0.797377458632532,4851,0.7964408367155792
53,1090,0.7499219481735873,4969,0.803621604745551,1996,0.7699032157352482,4765,0.7930065563534187,4765,0.7923821417421167
54,821,0.7430533874492663,3691,0.8045582266625039,6826,0.7702154230408992,4560,0.7939431782703715,5423,0.7930065563534187
55,4593,0.7436778020605682,3821,0.8054948485794567,4624,0.7711520449578521,2287,0.8023727755229473,5925,0.7920699344364658
56,635,0.7561660942866063,5029,0.8067436778020606,2372,0.7911333125195129,990,0.8179831408054948,5310,0.7923821417421167
57,2823,0.7492975335622853,5072,0.8129878239150796,1024,0.7920699344364658,3306,0.8198563846394006,4560,0.7930065563534187
58,3359,0.7496097408679363,2660,0.8033093974399,3669,0.797377458632532,5310,0.8211052138620044,3306,0.7945675928816734
59,455,0.764595691539182,1580,0.8061192631907587,3815,0.7986262878551358,6062,0.8217296284733063,6062,0.7955042147986263
60,3158,0.764907898844833,4921,0.8117389946924758,1477,0.8095535435529191,4851,0.8214174211676554,990,0.8117389946924758
61,1697,0.7658445207617858,3525,0.8120512019981267,6480,0.8092413362472682,5925,0.8198563846394006,6677,0.8108023727755229
62,1694,0.7724008741804558,4370,0.8148610677489854,2343,0.810490165469872,5633,0.8248517015298158,2287,0.8192319700280987
63,4681,0.7727130814861067,3155,0.81642210427724,3579,0.8145488604433344,2817,0.8129878239150796,4811,0.8192319700280987
64,6479,0.7733374960974086,1373,0.8161098969715891,3094,0.8239150796128629,4750,0.8123634093037777,5633,0.8245394942241648
65,5949,0.7745863253200125,3040,0.8157976896659381,1580,0.8289103965032781,2469,0.8282859818919762,2817,0.8123634093037777
66,1235,0.7708398376522011,1973,0.8120512019981267,6764,0.8332812987823915,2126,0.8395254448954106,2197,0.8223540430846081
67,4028,0.7711520449578521,6365,0.8186075554167968,5992,0.8339057133936935,575,0.8385888229784577,5829,0.8220418357789572
68,1519,0.7733374960974086,5653,0.8214174211676554,1373,0.8348423353106462,2496,0.8438963471745239,2469,0.8395254448954106
69,6706,0.7736497034030596,3631,0.8248517015298158,3385,0.8348423353106462,4462,0.8442085544801748,6436,0.8382766156728068
70,517,0.7745863253200125,2653,0.8279737745863254,4367,0.8398376522010615,3928,0.8473306275366843,575,0.8382766156728068
71,640,0.7773961910708711,5154,0.8248517015298158,3742,0.8423353106462691,5829,0.8470184202310334,2496,0.8423353106462691
72,3194,0.7808304714330315,2221,0.836403371838901,5947,0.8457695910084296,1435,0.8467062129253825,3865,0.8460817983140806
