,random_choices,random_acc,uncertainty_choices,uncertainty_acc,mc_choices,mc_acc,mcvopt_choices,mcvopt_acc,vopt_choices,vopt_acc
0,-1,0.3437402435216984,-1,0.3437402435216984,-1,0.3437402435216984,-1,0.3437402435216984,-1,0.3437402435216984
1,1147,0.365906962222916,3562,0.33593506088042463,604,0.39213237589759603,6630,0.3490477677177646,6630,0.3490477677177646
2,3622,0.36247268186075554,2183,0.35591632844208554,1639,0.418357789572276,1639,0.379019669060256,1639,0.379019669060256
3,6131,0.3808929128941617,4429,0.36746799875117075,445,0.3837027786450203,5136,0.40212300967842646,5136,0.40212300967842646
4,3306,0.3927567905088979,4228,0.38401498595067124,406,0.35654074305338745,3910,0.4142990945988136,3910,0.4142990945988136
5,1815,0.4261629722135498,4796,0.3771464252263503,3341,0.37964408367155794,4342,0.4333437402435217,4342,0.4333437402435217
6,2744,0.4295972525757103,4000,0.3893225101467374,6701,0.39619107087105837,3257,0.4545738370277865,3257,0.4545738370277865
7,2948,0.4395878863565407,4553,0.3933812051201998,1731,0.3746487667811427,6220,0.4520761785825788,6220,0.4520761785825788
8,880,0.42023103340618173,2368,0.42272869185138934,5809,0.3974399000936622,5821,0.4545738370277865,5821,0.4545738370277865
9,3750,0.4171089603496722,1431,0.4364658133000312,6546,0.41679675304402125,6063,0.444583203246956,6063,0.444583203246956
10,5633,0.39213237589759603,3050,0.44333437402435216,3162,0.42709959413050264,5169,0.46831095847642834,5169,0.46831095847642834
11,3275,0.3940056197315017,6532,0.4633156415860131,1622,0.40961598501404933,3087,0.4679987511707774,3087,0.4679987511707774
12,2824,0.3877614736184827,6622,0.46237901966906025,5215,0.41866999687792694,3508,0.4736184826724945,3508,0.4736184826724945
13,5719,0.3702778645020294,1741,0.46987199500468313,6028,0.43615360599438024,6546,0.49547299406806117,3866,0.47143303153293786
14,6374,0.38963471745238837,3681,0.4633156415860131,6240,0.44333437402435216,1629,0.5010927255697784,1819,0.4792382141742117
15,499,0.40867936309709646,3686,0.4530128004995317,5837,0.46394005619731504,3866,0.5001561036528255,6546,0.5017171401810803
16,4919,0.41211364345925694,344,0.4536372151108336,3842,0.4733062753668436,6440,0.5057758351545426,5263,0.5060880424601936
17,6435,0.4274118014361536,3245,0.4536372151108336,2202,0.46831095847642834,5263,0.509834530128005,6440,0.5120199812675617
18,5342,0.43584139868872934,3922,0.45738370277864504,3369,0.48735560412113643,368,0.5401186387761474,368,0.542616297221355
19,3429,0.43584139868872934,370,0.45270059319388073,2268,0.4776771776459569,6501,0.5432407118326569,6501,0.5444895410552607
20,926,0.43584139868872934,4786,0.4536372151108336,2403,0.48985326256634404,4694,0.5448017483609117,4748,0.5457383702778645
21,2091,0.4405245082734936,3146,0.4555104589447393,883,0.5079612862940993,6018,0.5448017483609117,6018,0.5457383702778645
22,2337,0.45644708086169217,4579,0.470496409615985,2866,0.5251326881049017,2150,0.5675928816734311,2150,0.568217296284733
23,1933,0.46706212925382457,5686,0.4655010927255698,535,0.5179519200749297,535,0.5822666250390259,535,0.5835154542616298
24,5343,0.49640961598501404,1472,0.4679987511707774,636,0.5051514205432407,4599,0.561973150171714,6003,0.5704027474242898
25,4409,0.49953168904152356,3137,0.4701842023103341,6063,0.5204495785201374,6003,0.5563534186699969,4391,0.5600999063378083
26,6798,0.5004683109584764,1035,0.4792382141742117,5348,0.5235716515766469,4337,0.5610365282547611,4337,0.5654074305338745
