,random_choices,random_acc,uncertainty_choices,uncertainty_acc,mcvopt_choices,mcvopt_acc,mc_choices,mc_acc
0,-1,0.19356852950359038,-1,0.19356852950359038,-1,0.19356852950359038,-1,0.19356852950359038
1,2080,0.34748673118950985,1939,0.3084608179831408,1955,0.31033406181704654,2207,0.36809241336247267
2,6831,0.444583203246956,6799,0.43833905713393695,6687,0.4611301904464564,6707,0.4199188261005308
3,5642,0.46394005619731504,5614,0.5132688104901655,5689,0.5460505775835155,5715,0.4196066187948798
4,5944,0.4811114580081174,5951,0.6084920387137059,5924,0.5888229784576959,5772,0.4545738370277865
5,2461,0.5388698095535436,2833,0.6109896971589135,2341,0.6353418669996878,2966,0.5351233218857321
6,6589,0.5847642834842335,6404,0.6771776459569154,6579,0.7527318139244459,6601,0.5860131127068373
7,1388,0.6394005619731502,1429,0.7271308148610678,1439,0.7633468623165782,1475,0.6472057446144239
8,6106,0.6703090852325945,6110,0.7499219481735873,6252,0.7880112394630034,6261,0.6949734623790197
9,5439,0.7174523883858882,5214,0.8029971901342492,5232,0.8154854823602873,5667,0.7467998751170778
10,4922,0.7505463627848892,5073,0.7983140805494848,4970,0.8239150796128629,5039,0.8045582266625039
11,1672,0.752107399313144,2242,0.8451451763971277,1828,0.8504527005931939,2260,0.8264127380580706
12,6773,0.7820793006556354,6692,0.8744926631283172,6850,0.8794879800187324,6631,0.8314080549484858
13,5554,0.7901966906025601,5489,0.908523259444271,5690,0.8769903215735249,5480,0.8538869809553543
14,5750,0.7914455198251639,5776,0.9256946612550734,5763,0.8966593818295349,5730,0.8776147361848268
15,2953,0.797377458632532,2579,0.9334998438963472,2787,0.9007180768029972,2713,0.8885419918826101
16,6599,0.8001873243833906,6471,0.9384951607867624,6590,0.9063378083047143,6538,0.8897908211052139
17,1463,0.8033093974399,1510,0.9434904776771776,1434,0.9178894786137995,1531,0.9044645644708086
18,6262,0.8261005307524196,6035,0.9484857945675929,6085,0.921635966281611,6306,0.9119575398064315
19,5228,0.8420231033406181,5230,0.9456759288167343,5145,0.9272556977833282,5333,0.9213237589759601
20,5114,0.849516078676241,4972,0.9481735872619419,5112,0.9266312831720263,5107,0.9238214174211676
21,2170,0.862628785513581,2056,0.9481735872619419,2237,0.9260068685607243,1866,0.9225725881985638
22,6720,0.8638776147361849,6670,0.9500468310958476,6676,0.9316266000624415,6664,0.9303777708398376
23,5627,0.8657508585700905,5617,0.9547299406806119,5450,0.9294411489228848,5642,0.9381829534811115
24,5832,0.8679363097096472,6020,0.9534811114580081,5921,0.9378707461754605,5996,0.9381829534811115
25,2374,0.8916640649391195,2322,0.9559787699032157,2943,0.9384951607867624,2752,0.9428660630658757
26,6411,0.8944739306899782,6327,0.9591008429597253,6476,0.9388073680924134,6397,0.9487980018732438
27,1469,0.895722759912582,1431,0.9591008429597253,1552,0.9441148922884796,1502,0.9491102091788948
28,6256,0.895722759912582,6023,0.9597252575710271,6222,0.9456759288167343,6057,0.9491102091788948
29,5231,0.8966593818295349,5320,0.9609740867936309,5421,0.9431782703715267,5194,0.9487980018732438
30,4825,0.8975960037464876,4931,0.9609740867936309,1962,0.9428660630658757,5096,0.9491102091788948
31,1626,0.902279113331252,1715,0.9622229160162348,2190,0.9438026849828286,1600,0.94754917265064
32,6737,0.9107087105838276,6707,0.9619107087105838,6871,0.9491102091788948,6860,0.9494224164845457
33,5693,0.9082110521386201,5540,0.9631595379331876,5705,0.9491102091788948,5552,0.9522322822354043
34,5417,0.9060256009990634,5804,0.9653449890727444,5909,0.9497346237901967,5948,0.9569153918201686
