,random_choices,random_acc,uncertainty_choices,uncertainty_acc,mc_choices,mc_acc,mcvopt_choices,mcvopt_acc,vopt_choices,vopt_acc
0,-1,0.39369341242585076,-1,0.39369341242585076,-1,0.39369341242585076,-1,0.39369341242585076,-1,0.39369341242585076
1,1138,0.4005619731501717,1646,0.41679675304402125,1639,0.4255385576022479,4745,0.405245082734936,4745,0.405245082734936
2,5285,0.39962535123321885,6028,0.42054324071183263,4043,0.4274118014361536,1639,0.4364658133000312,1639,0.4364658133000312
3,2887,0.4464564470808617,4583,0.4439587886356541,6834,0.4399000936621917,5136,0.4580081173899469,5136,0.4580081173899469
4,574,0.4636278488916641,4699,0.4470808616921636,5136,0.4608179831408055,4050,0.4548860443334374,4050,0.4548860443334374
5,3704,0.4636278488916641,1507,0.45176397127692786,503,0.4948485794567593,4971,0.4792382141742117,4971,0.4792382141742117
6,3507,0.4626912269747112,6313,0.4470808616921636,3162,0.5104589447393069,5803,0.47486731189509834,5803,0.47486731189509834
7,2610,0.457695910084296,5554,0.4520761785825788,4020,0.5035903840149859,6056,0.48548236028723074,6693,0.4758039338120512
8,1199,0.438026849828286,913,0.48548236028723074,6180,0.5135810177958164,6693,0.48641898220418356,6056,0.48641898220418356
9,4221,0.4452076178582579,303,0.48860443334374026,1821,0.5198251639088355,3185,0.49047767717764595,3185,0.49047767717764595
10,4687,0.4495785201373712,4818,0.5004683109584764,5262,0.5401186387761474,6292,0.49110209178894787,6292,0.49110209178894787
11,2509,0.44021230096784264,1166,0.516390883546675,4264,0.5541679675304402,5263,0.5035903840149859,5263,0.5035903840149859
12,2323,0.42928504527005934,141,0.5220106150483921,3082,0.5563534186699969,3482,0.5185763346862317,1819,0.5070246643771464
13,2006,0.45145176397127695,3889,0.536059943802685,1986,0.5516703090852326,1819,0.5216984077427412,3482,0.5216984077427412
14,4451,0.45176397127692786,3245,0.5366843584139869,4269,0.5522947236965345,4090,0.5232594442709959,4090,0.5232594442709959
15,3249,0.45082734935997504,229,0.535747736497034,3522,0.5647830159225726,3508,0.5332500780518264,3508,0.5332500780518264
16,4341,0.4686231657820793,991,0.5479238214174211,4579,0.5772713081486107,6460,0.536059943802685,6460,0.536059943802685
17,1019,0.4636278488916641,350,0.5513581017795817,6291,0.588198563846394,6546,0.5585388698095536,5736,0.5332500780518264
18,5929,0.4926631283172026,6434,0.5563534186699969,3358,0.595067124570715,5736,0.5566656259756478,6546,0.5566656259756478
19,3499,0.5129566031845145,3831,0.5613487355604121,686,0.5994380268498283,4512,0.5700905401186388,4512,0.5700905401186388
20,1808,0.5145176397127693,456,0.5906962222916016,883,0.620980330939744,6018,0.5657196378395254,6018,0.5657196378395254
21,5241,0.5263815173275055,3190,0.5906962222916016,6570,0.6362784889166406,4110,0.5738370277864502,4110,0.5738370277864502
22,1188,0.5188885419918826,5134,0.5978769903215735,1783,0.627536684358414,1661,0.6028723072119888,1661,0.6028723072119888
23,5121,0.5279425538557603,6032,0.5985014049328754,2015,0.6262878551358102,6580,0.608179831408055,6580,0.608179831408055
24,1643,0.5198251639088355,379,0.601311270683734,5763,0.6331564158601312,4820,0.6141117702154231,2035,0.6075554167967531
25,6310,0.5341866999687793,3350,0.6069310021854512,4384,0.634093037777084,1581,0.6191070871058383,4820,0.6137995629097721
26,4843,0.548548236028723,2834,0.6231657820793006,4604,0.6465813300031221,2035,0.6178582578832345,5888,0.6137995629097721
27,6549,0.5513581017795817,6386,0.6425226350296597,947,0.6478301592257258,3775,0.6294099281923197,1581,0.6172338432719325
28,1388,0.562285357477365,3441,0.6425226350296597,6546,0.6506400249765845,216,0.6365906962222916,216,0.6253512332188573
29,1359,0.555416796753044,4860,0.6556353418669997,3342,0.6515766468935373,5888,0.6362784889166406,3775,0.6362784889166406
30,1180,0.5547923821417421,5135,0.6837339993755854,1895,0.6394005619731502,1752,0.6506400249765845,703,0.6497034030596316
31,6515,0.5625975647830159,3104,0.6940368404620668,6712,0.6493911957539806,6243,0.6478301592257258,6243,0.6475179519200749
32,6728,0.5625975647830159,6453,0.6874804870433968,3910,0.6475179519200749,1697,0.6603184514517639,1697,0.660006244146113
33,429,0.5679050889790821,2576,0.6965344989072745,844,0.6718701217608493,4032,0.6575085857009054,4032,0.6571963783952545
34,1523,0.5725881985638464,5058,0.6977833281298782,6686,0.6724945363721511,6724,0.6568841710896035,6724,0.6565719637839526
35,1306,0.5741492350921011,3408,0.7024664377146426,5883,0.666250390259132,6529,0.6509522322822354,6529,0.6512644395878864
36,2093,0.6056821729628473,6586,0.7102716203559163,2866,0.7211988760536997,5051,0.6543865126443958,5051,0.6543865126443958
37,4182,0.6100530752419606,2383,0.7087105838276616,5174,0.7202622541367468,1218,0.6721823290665001,1218,0.6724945363721511
38,2569,0.6109896971589135,3821,0.7077739619107087,6191,0.7327505463627849,6160,0.6743677802060568,6160,0.6743677802060568
39,4969,0.614423977521074,3691,0.7012176084920387,966,0.731813924445832,5118,0.6706212925382454,5118,0.6699968779269435
40,5882,0.6150483921323759,3525,0.699344364658133,4620,0.7358726194192944,3588,0.6759288167343116,3588,0.6756166094286606
41,1953,0.614736184826725,4807,0.7027786450202935,4003,0.7352482048079925,4581,0.6877926943490478,4254,0.6740555729004059
42,4890,0.6066187948798002,6660,0.705900718076803,4342,0.7361848267249453,4254,0.685919450515142,4581,0.685919450515142
43,3641,0.6109896971589135,5593,0.6968467062129254,558,0.7364970340305963,1380,0.6868560724320949,4791,0.685919450515142
44,1837,0.6106774898532625,367,0.7165157664689353,1305,0.7377458632532001,871,0.6899781454886045,2423,0.6902903527942554
45,4575,0.6206681236340931,6859,0.7180768029971901,475,0.7436778020605682,4772,0.6940368404620668,1380,0.6902903527942554
46,3959,0.6294099281923197,357,0.7143303153293787,5705,0.7539806431470496,5540,0.6952856696846706,4772,0.6943490477677178
47,6131,0.6325320012488292,566,0.7355604121136434,183,0.7577271308148611,4653,0.6952856696846706,4036,0.6921635966281611
48,5412,0.6409615985014049,3550,0.7333749609740868,3090,0.7620980330939744,2890,0.7077739619107087,5540,0.692475803933812
49,6122,0.6418982204183578,3181,0.7336871682797378,264,0.7486731189509834,4036,0.7040274742428972,2890,0.705588510771152
50,4457,0.6431470496409616,3767,0.7330627536684359,4061,0.7477364970340306,827,0.705900718076803,827,0.7080861692163597
51,2714,0.6447080861692164,6666,0.7330627536684359,6119,0.7530440212300968,996,0.7221354979706525,996,0.7246331564158601
52,5449,0.646893537308773,52,0.7355604121136434,6453,0.7611614111770215,738,0.7464876678114268,4903,0.7339993755853887
53,511,0.6331564158601312,2696,0.7405557290040587,3538,0.7655323134561349,4903,0.7561660942866063,3306,0.7368092413362473
54,4772,0.6390883546674992,5503,0.7421167655323134,2725,0.7705276303465501,3306,0.7596003746487667,3109,0.7349359975023415
55,327,0.6375273181392445,4018,0.7461754605057759,1636,0.764595691539182,137,0.764907898844833,137,0.7402435216984078
56,140,0.6325320012488292,6113,0.7477364970340306,358,0.7633468623165782,1057,0.771776459569154,738,0.765220106150484
57,5813,0.6525132688104902,6833,0.7486731189509834,1330,0.778020605682173,3109,0.7711520449578521,1057,0.7724008741804558
