Epoch,Test Accuracy,Train Accuracy
1,13.86,13.31
2,25.26,25.07
3,11.11,11.26
4,67.56,78.38
5,76.30,93.42
6,66.63,83.51
7,71.96,63.31
8,94.94,99.73
9,93.85,99.64
10,88.14,99.95
11,93.97,100.00
12,89.54,100.00
13,84.67,100.00
14,85.79,100.00
15,90.63,100.00
16,96.10,99.82
17,86.20,100.00
18,88.92,100.00
19,91.04,100.00
20,95.79,100.00
21,92.88,100.00
22,91.10,100.00
23,85.17,100.00
24,92.57,100.00
25,92.54,100.00
26,90.63,100.00
27,93.51,100.00
28,92.26,100.00
29,92.73,100.00
30,93.94,100.00
31,91.35,100.00
32,92.76,100.00
33,93.13,100.00
34,91.48,100.00
35,93.35,100.00
36,92.94,100.00
37,92.73,100.00
38,93.76,100.00
39,93.32,100.00
40,92.76,100.00
41,92.60,100.00
42,93.26,100.00
43,92.41,100.00
44,92.85,100.00
45,93.13,100.00
46,92.13,100.00
47,92.48,100.00
48,93.44,100.00
49,93.32,100.00
50,92.60,100.00
