Epoch,Test Accuracy,Train Accuracy
1,12.83,12.26
2,10.24,10.90
3,31.47,44.41
4,30.81,40.05
5,15.77,18.53
6,48.11,73.30
7,10.37,10.90
8,43.37,68.39
9,47.74,72.75
10,45.74,67.85
11,51.45,76.57
12,35.03,49.05
13,40.59,58.04
14,59.63,91.55
15,43.71,65.40
16,61.19,93.46
17,55.23,86.10
18,64.10,89.37
19,66.00,99.18
20,57.95,93.46
21,67.19,99.18
22,65.75,99.46
23,71.12,100.00
24,71.28,100.00
25,68.40,100.00
26,72.96,100.00
27,69.00,100.00
28,72.06,100.00
29,68.40,100.00
30,67.75,100.00
31,71.43,100.00
32,72.34,100.00
33,71.31,100.00
34,71.25,100.00
35,71.40,100.00
36,73.28,100.00
37,72.56,100.00
38,73.09,100.00
39,72.65,100.00
40,72.37,100.00
41,72.03,100.00
42,72.74,100.00
43,72.28,100.00
44,73.06,100.00
45,73.34,100.00
46,72.40,100.00
47,72.18,100.00
48,72.12,100.00
49,71.43,100.00
50,73.03,100.00
