Number of Labels,Accuracy
183,84.36
367,91.29
550,94.35
734,96.63
917,97.28
1101,97.38
1284,97.50
1468,97.75
1651,97.85
1835,98.00
2019,97.97
2202,97.91
2386,98.00
2569,98.22
2753,98.25
2936,98.28
3120,98.38
3303,98.41
3487,98.41
3671,98.44
