Epoch,Test Accuracy,Train Accuracy
1,32.84,33.68
2,58.82,67.66
3,62.19,68.02
4,40.99,43.55
5,20.42,22.05
6,44.30,50.39
7,54.85,75.89
8,73.03,96.06
9,76.37,97.58
10,87.01,99.64
11,80.58,99.82
12,77.83,99.58
13,81.17,99.94
14,87.92,100.00
15,87.51,100.00
16,77.24,99.76
17,89.04,100.00
18,80.33,99.94
19,89.60,100.00
20,87.23,100.00
21,84.83,100.00
22,88.48,100.00
23,88.92,100.00
24,90.45,100.00
25,90.26,100.00
26,90.85,100.00
27,92.32,100.00
28,89.14,100.00
29,88.51,100.00
30,91.95,100.00
31,91.45,100.00
32,89.35,100.00
33,88.73,100.00
34,90.17,100.00
35,88.35,100.00
36,92.76,100.00
37,89.42,100.00
38,90.51,100.00
39,89.42,100.00
40,89.92,100.00
41,91.20,100.00
42,90.35,100.00
43,89.73,100.00
44,89.07,100.00
45,90.29,100.00
46,90.10,100.00
47,89.51,100.00
48,90.63,100.00
49,89.57,100.00
50,89.95,100.00
