Epoch,Test Accuracy,Train Accuracy
1,30.38,32.21
2,33.62,36.42
3,38.56,41.90
4,28.19,32.85
5,81.14,97.55
6,92.13,97.94
7,93.72,99.64
8,83.45,99.61
9,92.16,97.40
10,95.97,99.82
11,94.79,100.00
12,95.13,100.00
13,89.79,100.00
14,94.41,100.00
15,87.45,99.97
16,94.66,100.00
17,79.96,99.52
18,85.45,100.00
19,97.16,99.97
20,97.75,100.00
21,96.25,100.00
22,96.53,100.00
23,96.82,100.00
24,97.28,100.00
25,93.63,100.00
26,93.16,100.00
27,93.47,100.00
28,93.35,100.00
29,97.07,100.00
30,96.63,100.00
31,94.38,100.00
32,95.29,100.00
33,94.47,100.00
34,96.57,100.00
35,94.22,100.00
36,96.69,100.00
37,95.35,100.00
38,94.79,100.00
39,95.66,100.00
40,96.41,100.00
41,94.97,100.00
42,95.69,100.00
43,95.66,100.00
44,95.38,100.00
45,95.60,100.00
46,95.07,100.00
47,95.79,100.00
48,95.25,100.00
49,95.41,100.00
50,95.13,100.00
