Epoch,Test Accuracy,Train Accuracy
1,33.91,43.92
2,38.06,40.97
3,36.97,45.15
4,47.02,61.35
5,51.30,71.63
6,82.64,73.92
7,90.10,98.44
8,63.13,86.52
9,92.54,99.56
10,81.11,94.95
11,94.66,99.13
12,84.80,99.78
13,54.67,77.88
14,94.75,100.00
15,95.04,99.96
16,94.82,99.96
17,96.35,99.75
18,94.75,99.78
19,92.94,100.00
20,96.57,100.00
21,88.70,100.00
22,91.88,100.00
23,95.07,100.00
24,95.41,100.00
25,91.07,100.00
26,96.25,100.00
27,92.85,100.00
28,93.79,100.00
29,93.38,100.00
30,94.22,100.00
31,94.47,100.00
32,92.54,100.00
33,93.97,100.00
34,93.32,100.00
35,95.10,100.00
36,91.73,100.00
37,91.32,100.00
38,93.38,100.00
39,92.51,100.00
40,93.91,100.00
41,93.04,100.00
42,92.51,100.00
43,92.23,100.00
44,93.57,100.00
45,92.35,100.00
46,93.23,100.00
47,93.60,100.00
48,91.54,100.00
49,92.79,100.00
50,92.79,100.00
