Epoch,Test Accuracy,Train Accuracy
1,49.33,58.55
2,16.52,16.11
3,25.23,26.67
4,58.94,70.91
5,45.15,49.76
6,61.54,82.15
7,81.92,98.16
8,78.24,98.98
9,75.74,96.63
10,80.46,99.73
11,91.73,100.00
12,95.44,99.56
13,92.38,100.00
14,94.35,99.97
15,96.00,100.00
16,93.54,100.00
17,95.32,100.00
18,91.13,100.00
19,95.22,100.00
20,89.92,100.00
21,90.17,100.00
22,92.38,100.00
23,92.29,100.00
24,92.29,100.00
25,95.44,100.00
26,96.41,100.00
27,91.95,100.00
28,92.32,100.00
29,93.32,100.00
30,93.23,100.00
31,93.63,100.00
32,93.13,100.00
33,95.69,100.00
34,94.10,100.00
35,93.85,100.00
36,95.13,100.00
37,94.63,100.00
38,92.35,100.00
39,94.88,100.00
40,94.88,100.00
41,93.69,100.00
42,93.76,100.00
43,93.66,100.00
44,94.72,100.00
45,94.29,100.00
46,94.16,100.00
47,93.76,100.00
48,93.51,100.00
49,93.88,100.00
50,93.79,100.00
