Epoch,Test Accuracy,Train Accuracy
1,18.79,17.89
2,8.77,8.72
3,30.85,33.06
4,30.66,32.24
5,35.15,38.33
6,8.55,8.54
7,70.65,86.47
8,54.04,75.20
9,72.43,68.30
10,82.39,98.73
11,66.22,97.64
12,72.06,99.27
13,83.23,99.91
14,91.10,99.82
15,78.02,100.00
16,85.11,100.00
17,79.77,100.00
18,90.63,100.00
19,83.77,100.00
20,89.60,100.00
21,88.76,100.00
22,85.33,100.00
23,87.89,100.00
24,92.23,100.00
25,90.76,100.00
26,81.05,100.00
27,87.07,100.00
28,84.26,100.00
29,85.36,100.00
30,88.85,100.00
31,84.86,100.00
32,88.14,100.00
33,88.45,100.00
34,87.29,100.00
35,88.17,100.00
36,86.17,100.00
37,87.51,100.00
38,87.64,100.00
39,87.98,100.00
40,89.76,100.00
41,90.01,100.00
42,88.14,100.00
43,86.54,100.00
44,88.29,100.00
45,87.26,100.00
46,87.92,100.00
47,88.64,100.00
48,87.95,100.00
49,88.29,100.00
50,88.10,100.00
