Epoch,Test Accuracy,Train Accuracy
1,35.87,42.17
2,45.43,52.72
3,43.62,46.66
4,10.90,11.44
5,15.20,17.98
6,45.11,53.27
7,62.13,74.11
8,35.56,38.35
9,63.66,78.00
10,87.95,98.50
11,62.82,61.44
12,92.32,100.00
13,79.43,98.71
14,75.30,99.18
15,76.65,99.25
16,88.92,100.00
17,89.82,100.00
18,84.17,100.00
19,87.17,100.00
20,86.92,100.00
21,86.39,100.00
22,89.98,100.00
23,91.20,100.00
24,85.83,100.00
25,90.10,100.00
26,91.98,100.00
27,92.51,100.00
28,93.88,100.00
29,92.41,100.00
30,92.41,100.00
31,91.45,100.00
32,91.07,100.00
33,92.51,100.00
34,93.94,100.00
35,93.19,100.00
36,92.26,100.00
37,93.41,100.00
38,92.32,100.00
39,91.60,100.00
40,92.23,100.00
41,92.44,100.00
42,93.47,100.00
43,92.13,100.00
44,93.01,100.00
45,93.26,100.00
46,92.04,100.00
47,92.76,100.00
48,93.13,100.00
49,93.10,100.00
50,92.69,100.00
