Epoch,Test Accuracy,Train Accuracy
1,11.33,12.18
2,20.51,19.09
3,9.43,9.27
4,8.80,8.36
5,36.93,45.64
6,38.74,48.18
7,46.92,70.36
8,38.56,45.09
9,38.21,48.00
10,40.56,50.91
11,42.15,58.18
12,49.98,75.64
13,51.30,81.45
14,61.41,97.09
15,58.66,95.09
16,60.60,96.36
17,57.73,96.55
18,68.22,100.00
19,62.25,99.82
20,64.72,100.00
21,65.94,100.00
22,65.44,100.00
23,67.41,100.00
24,69.84,100.00
25,69.19,100.00
26,70.81,100.00
27,69.03,100.00
28,71.15,100.00
29,69.03,100.00
30,70.84,100.00
31,70.00,100.00
32,70.00,100.00
33,72.53,100.00
34,70.90,100.00
35,70.25,100.00
36,70.96,100.00
37,70.18,100.00
38,70.62,100.00
39,70.53,100.00
40,72.15,100.00
41,70.78,100.00
42,70.50,100.00
43,70.78,100.00
44,69.59,100.00
45,70.78,100.00
46,71.56,100.00
47,71.25,100.00
48,71.12,100.00
49,71.00,100.00
50,71.06,100.00
