Epoch,Test Accuracy,Train Accuracy
1,20.26,20.64
2,35.81,43.69
3,53.39,67.52
4,42.49,53.89
5,34.00,38.71
6,69.90,88.86
7,44.61,50.62
8,82.92,91.43
9,66.22,95.64
10,74.09,98.91
11,87.23,99.92
12,88.60,99.53
13,84.17,99.92
14,77.71,100.00
15,82.11,100.00
16,87.95,100.00
17,84.58,100.00
18,86.54,100.00
19,85.17,100.00
20,91.41,100.00
21,86.39,100.00
22,87.61,100.00
23,88.48,100.00
24,80.71,100.00
25,86.42,100.00
26,90.29,100.00
27,88.45,100.00
28,87.23,100.00
29,82.42,100.00
30,84.67,100.00
31,89.23,100.00
32,86.82,100.00
33,88.92,100.00
34,89.20,100.00
35,88.01,100.00
36,88.45,100.00
37,88.98,100.00
38,88.82,100.00
39,89.85,100.00
40,88.98,100.00
41,88.45,100.00
42,88.10,100.00
43,87.82,100.00
44,87.70,100.00
45,88.35,100.00
46,87.67,100.00
47,88.60,100.00
48,88.39,100.00
49,87.98,100.00
50,87.79,100.00
