Epoch,Test Accuracy,Train Accuracy
1,18.17,19.67
2,22.42,25.68
3,15.70,16.39
4,24.73,36.61
5,27.97,55.19
6,40.87,65.03
7,47.14,78.14
8,47.08,79.23
9,38.43,63.39
10,38.87,71.04
11,42.65,82.51
12,41.74,84.15
13,38.12,78.69
14,42.12,86.34
15,41.15,84.70
16,42.68,88.52
17,44.18,91.80
18,42.12,87.98
19,46.64,95.08
20,48.86,95.08
21,47.52,95.63
22,50.08,96.72
23,50.67,98.36
24,51.14,98.36
25,52.11,98.91
26,52.17,98.91
27,52.73,99.45
28,53.14,99.45
29,52.98,99.45
30,52.92,99.45
31,53.54,99.45
32,53.29,100.00
33,53.36,100.00
34,53.33,100.00
35,53.54,100.00
36,53.54,100.00
37,53.61,100.00
38,53.89,100.00
39,53.29,100.00
40,53.67,100.00
41,53.73,100.00
42,53.82,100.00
43,53.82,100.00
44,53.95,100.00
45,54.11,100.00
46,54.20,100.00
47,54.01,100.00
48,54.14,100.00
49,54.20,100.00
50,53.95,100.00
