Epoch,Test Accuracy,Train Accuracy
1,24.20,25.27
2,48.42,56.04
3,48.99,49.41
4,82.92,80.87
5,18.67,14.77
6,76.24,98.45
7,95.63,98.94
8,88.57,100.00
9,92.76,100.00
10,83.39,99.83
11,97.00,99.91
12,96.00,98.68
13,94.38,100.00
14,92.60,100.00
15,95.41,100.00
16,97.16,100.00
17,87.20,100.00
18,97.38,100.00
19,95.04,100.00
20,91.54,100.00
21,88.92,100.00
22,94.04,100.00
23,90.70,100.00
24,96.60,100.00
25,97.60,100.00
26,93.23,100.00
27,97.32,100.00
28,94.85,100.00
29,94.19,100.00
30,94.01,100.00
31,96.28,100.00
32,93.94,100.00
33,95.72,100.00
34,91.98,100.00
35,96.28,100.00
36,93.57,100.00
37,95.63,100.00
38,95.85,100.00
39,93.76,100.00
40,94.85,100.00
41,93.97,100.00
42,95.19,100.00
43,94.26,100.00
44,93.91,100.00
45,95.22,100.00
46,92.60,100.00
47,93.72,100.00
48,94.26,100.00
49,94.16,100.00
50,94.22,100.00
