Epoch,Test Accuracy,Train Accuracy
1,25.04,24.85
2,29.94,31.14
3,61.63,45.60
4,43.30,49.08
5,33.72,36.97
6,55.79,71.58
7,89.57,96.65
8,94.51,98.11
9,85.73,99.92
10,93.79,95.05
11,92.57,100.00
12,75.43,99.16
13,96.53,99.87
14,94.69,100.00
15,90.01,100.00
16,83.73,100.00
17,87.29,100.00
18,93.04,100.00
19,90.07,100.00
20,94.10,100.00
21,90.67,100.00
22,95.72,100.00
23,91.35,100.00
24,91.13,100.00
25,92.85,100.00
26,95.29,100.00
27,94.38,100.00
28,91.41,100.00
29,95.19,100.00
30,91.29,100.00
31,93.38,100.00
32,91.60,100.00
33,94.91,100.00
34,95.19,100.00
35,92.57,100.00
36,94.16,100.00
37,92.13,100.00
38,93.76,100.00
39,93.19,100.00
40,92.19,100.00
41,92.51,100.00
42,93.54,100.00
43,92.73,100.00
44,92.76,100.00
45,92.54,100.00
46,93.13,100.00
47,92.82,100.00
48,93.82,100.00
49,92.23,100.00
50,93.29,100.00
