Epoch,Test Accuracy,Train Accuracy
1,36.31,39.98
2,49.95,59.32
3,63.16,67.89
4,64.91,81.90
5,36.72,34.76
6,65.63,85.36
7,46.96,54.77
8,63.94,89.26
9,73.96,97.43
10,80.77,99.26
11,73.96,95.99
12,85.89,99.84
13,84.23,99.84
14,94.22,99.96
15,95.13,99.92
16,90.04,100.00
17,90.67,100.00
18,91.13,100.00
19,91.16,100.00
20,83.61,99.88
21,92.60,100.00
22,91.76,100.00
23,90.51,100.00
24,86.17,99.96
25,92.41,100.00
26,96.60,100.00
27,91.54,100.00
28,93.91,100.00
29,92.60,100.00
30,94.82,100.00
31,93.47,100.00
32,93.72,100.00
33,91.85,100.00
34,95.63,100.00
35,92.32,100.00
36,92.04,100.00
37,93.19,100.00
38,93.16,100.00
39,94.13,100.00
40,93.51,100.00
41,94.51,100.00
42,93.91,100.00
43,93.94,100.00
44,93.94,100.00
45,94.29,100.00
46,93.69,100.00
47,93.63,100.00
48,93.94,100.00
49,94.07,100.00
50,93.13,100.00
