Epoch,Test Accuracy,Train Accuracy
1,16.36,15.30
2,30.63,29.12
3,40.59,47.85
4,36.78,40.07
5,74.02,91.23
6,86.29,86.87
7,78.93,75.83
8,76.05,98.22
9,86.23,96.68
10,86.64,99.95
11,93.54,100.00
12,93.51,99.26
13,89.35,100.00
14,88.01,100.00
15,82.61,99.95
16,89.98,100.00
17,89.17,100.00
18,95.79,100.00
19,87.82,99.90
20,95.57,100.00
21,92.07,100.00
22,92.26,100.00
23,92.98,100.00
24,91.16,100.00
25,86.04,100.00
26,90.45,100.00
27,91.04,100.00
28,90.42,100.00
29,85.67,100.00
30,89.82,100.00
31,89.70,100.00
32,91.41,100.00
33,89.57,100.00
34,90.38,100.00
35,91.70,100.00
36,91.95,100.00
37,91.98,100.00
38,92.60,100.00
39,90.63,100.00
40,92.41,100.00
41,92.51,100.00
42,91.32,100.00
43,92.60,100.00
44,92.69,100.00
45,92.04,100.00
46,92.60,100.00
47,93.04,100.00
48,93.04,100.00
49,92.66,100.00
50,93.01,100.00
