Epoch,Test Accuracy,Train Accuracy
1,8.55,8.17
2,48.42,58.15
3,40.96,45.99
4,38.65,44.85
5,28.57,25.83
6,48.52,57.87
7,63.07,83.49
8,56.63,47.52
9,74.18,95.80
10,74.90,81.63
11,89.29,93.41
12,91.54,99.84
13,84.33,99.95
14,89.73,100.00
15,92.07,99.95
16,93.82,99.95
17,89.85,100.00
18,93.51,100.00
19,90.95,100.00
20,92.26,100.00
21,90.42,100.00
22,92.73,100.00
23,83.55,100.00
24,91.70,100.00
25,88.79,100.00
26,88.79,100.00
27,89.95,100.00
28,89.73,100.00
29,88.92,100.00
30,89.10,100.00
31,91.54,100.00
32,94.44,100.00
33,89.10,100.00
34,92.91,100.00
35,89.98,100.00
36,89.57,100.00
37,89.92,100.00
38,91.88,100.00
39,90.17,100.00
40,90.48,100.00
41,91.38,100.00
42,91.57,100.00
43,91.41,100.00
44,90.04,100.00
45,89.57,100.00
46,91.38,100.00
47,91.70,100.00
48,90.57,100.00
49,91.41,100.00
50,89.70,100.00
