Epoch,Test Accuracy,Train Accuracy
1,14.42,12.54
2,19.17,19.08
3,35.78,39.04
4,32.28,37.30
5,42.05,53.44
6,35.47,42.53
7,38.09,47.33
8,47.30,61.83
9,48.24,66.96
10,58.01,78.63
11,61.01,87.57
12,78.33,78.95
13,58.04,84.62
14,43.83,54.09
15,67.59,95.86
16,77.40,99.13
17,62.60,90.95
18,78.30,99.67
19,82.30,99.24
20,81.36,99.89
21,78.52,99.89
22,86.26,99.89
23,82.80,99.89
24,81.36,99.89
25,83.42,99.89
26,78.68,100.00
27,78.46,100.00
28,80.52,100.00
29,79.11,100.00
30,76.58,100.00
31,80.05,100.00
32,81.05,100.00
33,83.67,100.00
34,82.70,100.00
35,84.51,100.00
36,81.30,100.00
37,83.17,100.00
38,82.24,100.00
39,84.14,100.00
40,84.42,100.00
41,82.92,100.00
42,84.45,100.00
43,84.64,100.00
44,83.11,100.00
45,83.33,100.00
46,83.55,100.00
47,84.39,100.00
48,83.45,100.00
49,83.11,100.00
50,84.05,100.00
