Epoch,Test Accuracy,Train Accuracy
1,34.78,35.58
2,47.08,56.89
3,54.82,72.53
4,50.02,62.60
5,79.80,71.09
6,65.34,83.75
7,89.29,99.90
8,95.54,99.17
9,82.89,99.68
10,88.95,87.44
11,94.51,99.97
12,92.94,100.00
13,98.16,100.00
14,95.29,100.00
15,91.60,100.00
16,97.75,99.42
17,96.13,100.00
18,94.72,100.00
19,97.47,100.00
20,79.05,99.52
21,97.25,100.00
22,89.88,100.00
23,97.91,100.00
24,97.03,100.00
25,96.41,100.00
26,96.88,100.00
27,97.97,100.00
28,96.50,100.00
29,96.97,100.00
30,96.82,100.00
31,94.91,100.00
32,95.38,100.00
33,95.19,100.00
34,96.66,100.00
35,95.69,100.00
36,95.60,100.00
37,94.66,100.00
38,95.47,100.00
39,94.85,100.00
40,95.82,100.00
41,94.51,100.00
42,95.57,100.00
43,95.44,100.00
44,95.04,100.00
45,94.04,100.00
46,96.13,100.00
47,94.44,100.00
48,95.79,100.00
49,95.32,100.00
50,95.82,100.00
