Epoch,Test Accuracy,Train Accuracy
1,32.31,36.01
2,44.08,61.32
3,44.15,51.18
4,70.40,92.73
5,90.13,96.46
6,39.09,48.46
7,61.75,89.02
8,92.76,93.73
9,91.79,98.45
10,84.17,99.84
11,67.09,94.44
12,80.96,99.86
13,68.69,96.57
14,88.14,99.97
15,80.11,99.81
16,67.84,95.64
17,96.44,100.00
18,85.45,99.97
19,86.14,100.00
20,85.30,100.00
21,86.23,100.00
22,89.07,100.00
23,85.26,100.00
24,94.07,100.00
25,92.44,100.00
26,87.95,100.00
27,93.19,100.00
28,92.13,100.00
29,90.82,100.00
30,90.54,100.00
31,94.10,100.00
32,95.00,100.00
33,91.82,100.00
34,93.01,100.00
35,91.95,100.00
36,91.54,100.00
37,91.63,100.00
38,95.32,100.00
39,92.51,100.00
40,92.82,100.00
41,93.63,100.00
42,93.38,100.00
43,94.75,100.00
44,94.04,100.00
45,94.38,100.00
46,94.22,100.00
47,94.47,100.00
48,93.97,100.00
49,93.07,100.00
50,94.07,100.00
