,random_choices,random_acc,uncertainty_choices,uncertainty_acc,mc_choices,mc_acc,mcvopt_choices,mcvopt_acc,vopt_choices,vopt_acc
0,-1,0.2959725257571027,-1,0.2959725257571027,-1,0.2959725257571027,-1,0.2959725257571027,-1,0.2959725257571027
1,599,0.2925382453949422,4860,0.22322822354043084,1639,0.3125195129566032,4745,0.307211988760537,4745,0.307211988760537
2,2449,0.31345613487355606,3922,0.24695597876990322,1766,0.2825476116141118,1639,0.3275054636278489,1639,0.3275054636278489
3,3804,0.3256322197939432,6653,0.2619419294411489,4003,0.29784576959100845,3870,0.3512332188573213,3870,0.3512332188573213
4,3570,0.20605682172962847,4136,0.25663440524508274,499,0.2731813924445832,1861,0.32375897596003744,1861,0.32375897596003744
5,4634,0.22916016234779893,2455,0.30284108648142366,6834,0.2916016234779894,5128,0.3484233531064627,5128,0.3484233531064627
6,226,0.26412738058070556,5450,0.28660630658757413,3445,0.3034655010927256,3378,0.3718389010302841,3378,0.3718389010302841
7,1225,0.31033406181704654,4403,0.3122073056509522,5136,0.3281298782391508,6136,0.3974399000936622,6136,0.3974399000936622
8,3635,0.2588198563846394,6478,0.2725569778332813,4579,0.33749609740867936,4971,0.42179206993443646,4971,0.42179206993443646
9,5164,0.28004995316890413,5866,0.32032469559787696,6180,0.34811114580081176,5803,0.4489541055260693,5803,0.4489541055260693
10,2788,0.29378707461754605,6699,0.3109584764283484,4020,0.37215110833593507,4314,0.42522635029659694,4314,0.42522635029659694
