,random_choices,random_acc,uncertainty_choices,uncertainty_acc,mc_choices,mc_acc,mcvopt_choices,mcvopt_acc,vopt_choices,vopt_acc
0,-1,0.19356852950359038,-1,0.19356852950359038,-1,0.19356852950359038,-1,0.19356852950359038,-1,0.19356852950359038
1,6205,0.17327505463627849,5889,0.2313456134873556,2014,0.24196066187948798,6709,0.21167655323134563,6709,0.21167655323134563
2,1817,0.2307211988760537,2014,0.28972837964408366,6834,0.2578832344676865,5875,0.24601935685295037,5875,0.24601935685295037
3,1752,0.25507336871682795,2733,0.3190758663752732,5824,0.2981579768966594,2012,0.294099281923197,2012,0.294099281923197
4,6675,0.27630346550109275,6096,0.254761161411177,1937,0.3059631595379332,5127,0.30814861067748983,5127,0.30814861067748983
5,2852,0.3034655010927256,6441,0.2581954417733375,5128,0.3262566344052451,1695,0.32126131751482984,1695,0.32126131751482984
6,2575,0.3802684982828598,4877,0.2869185138932251,5138,0.32126131751482984,6164,0.33843271932563224,6164,0.33843271932563224
7,2878,0.36434592569466123,2891,0.38526381517327507,6151,0.34155479238214176,5316,0.326568841710896,5316,0.326568841710896
8,6769,0.37496097408679363,1571,0.3868248517015298,4906,0.3621604745551046,4925,0.3437402435216984,4925,0.3437402435216984
9,5781,0.43490477677177647,5933,0.41336247268186077,5735,0.39525444895410555,5892,0.3746487667811427,5892,0.3746487667811427
10,2197,0.451139556665626,1440,0.3509210115516703,5815,0.3943178270371527,6798,0.3837027786450203,6798,0.3837027786450203
11,2729,0.4093037777083984,5555,0.3490477677177646,1983,0.40305963159537933,6720,0.3849516078676241,6720,0.3849516078676241
12,2045,0.45176397127692786,2788,0.37620980330939746,6203,0.4089915704027474,5852,0.3908835466749922,5852,0.3908835466749922
13,1890,0.431470496409616,5036,0.37964408367155794,6042,0.36746799875117075,6242,0.40305963159537933,2152,0.3968154854823603
14,2477,0.41929441148922886,6120,0.3915079612862941,6686,0.36746799875117075,2152,0.40118638776147364,6242,0.40118638776147364
15,2377,0.39962535123321885,6652,0.4074305338744927,6668,0.37090227911333123,6262,0.36247268186075554,6262,0.36247268186075554
16,1664,0.40118638776147364,1738,0.4470808616921636,6712,0.3915079612862941,5010,0.37808304714330315,5289,0.36840462066812363
17,6110,0.42179206993443646,2615,0.4411489228847955,5069,0.4071183265688417,5289,0.3843271932563222,5010,0.3843271932563222
18,5021,0.4308460817983141,6550,0.45176397127692786,6338,0.42772400874180455,6526,0.40555729004058694,6526,0.40555729004058694
19,2041,0.44177333749609743,5822,0.46737433655947547,5183,0.44427099594130504,6791,0.42116765532313455,6791,0.42116765532313455
20,5098,0.4477052763034655,6079,0.4679987511707774,5139,0.43240711832656886,5415,0.4286606306587574,5415,0.4286606306587574
21,6042,0.4505151420543241,6491,0.4811114580081174,2117,0.4423977521073993,2204,0.43927567905088977,6596,0.43178270371526695
22,5856,0.4701842023103341,5287,0.4842335310646269,5979,0.46487667811426786,6596,0.4423977521073993,2204,0.4423977521073993
23,6137,0.4726818607555417,5919,0.49391195753980643,6477,0.48048704339681547,5725,0.4692475803933812,5725,0.4692475803933812
24,2956,0.48860443334374026,4920,0.49453637215110835,1661,0.5173275054636278,5188,0.46394005619731504,5188,0.46394005619731504
25,5618,0.4973462379019669,5472,0.5001561036528255,6336,0.5185763346862317,6562,0.48329690914767404,2241,0.46581330003122073
26,2497,0.4651888854199188,5546,0.5014049328754293,1823,0.5245082734935997,2241,0.48548236028723074,6807,0.46487667811426786
27,1382,0.4661255073368717,5748,0.5051514205432407,5089,0.535435529191383,5736,0.4870433968154855,6562,0.4857945675928817
28,5084,0.4811114580081174,2703,0.4867311895098345,5324,0.5238838588822978,6807,0.4876678114267874,5736,0.4876678114267874
29,5457,0.5004683109584764,1503,0.48985326256634404,2956,0.549172650640025,6121,0.4792382141742117,6121,0.4792382141742117
30,6415,0.5176397127692788,6781,0.4914142990945988,1992,0.5560412113643459,2811,0.48329690914767404,2811,0.48329690914767404
31,2210,0.5235716515766469,6317,0.49765844520761787,1465,0.5560412113643459,6447,0.4861067748985326,6447,0.4861067748985326
32,2891,0.5151420543240712,5086,0.49953168904152356,5981,0.5657196378395254,5087,0.49890727443022165,5087,0.49890727443022165
